1	1
2	2
3	3
4	5
5	6
6	8
7	10
8	11
9	14
10	16
11	17
12	18
13	19
14	21
15	22
16	24
17	25
18	29
19	30
20	32
21	33
22	34
23	35
24	37
25	40
26	41
27	43
28	45
29	46
30	47
31	49
32	51
33	54
34	57
35	58
36	59
37	60
38	62
39	65
40	67
41	68
42	69
43	70
44	71
45	72
46	73
47	75
48	76
49	77
50	78
51	80
52	81
53	82
54	84
55	86
56	87
57	88
58	90
59	91
60	92
61	93
62	94
63	95
64	96
65	97
66	99
67	100
68	102
69	104
70	105
71	106
72	108
73	110
74	111
75	112
76	113
77	115
78	116
79	117
80	118
81	119
82	121
83	122
84	124
85	126
86	127
87	129
88	130
89	132
90	134
91	135
92	137
93	138
94	139
95	140
96	141
97	142
98	143
99	145
100	146
101	147
102	148
103	149
104	150
105	151
106	153
107	154
108	155
109	156
110	158
111	161
112	162
113	163
114	164
115	166
116	167
117	169
118	170
119	171
120	172
121	173
122	174
123	175
124	176
125	177
126	178
127	179
128	180
129	181
130	183
131	185
132	186
133	187
134	188
135	189
136	191
137	193
138	194
139	195
140	196
141	197
142	199
143	200
144	201
145	202
146	204
147	205
148	206
149	207
150	209
151	210
152	211
153	213
154	214
155	215
156	216
157	218
158	219
159	220
160	221
161	222
162	223
163	224
164	225
165	226
166	228
167	229
168	230
169	231
170	233
171	234
172	235
173	237
174	238
175	239
176	240
177	241
178	242
179	243
180	245
181	246
182	247
183	248
184	250
185	251
186	252
187	253
188	254
189	255
190	256
191	257
192	258
193	259
194	261
195	262
196	263
197	264
198	265
199	266
200	267
201	269
202	270
203	271
204	272
205	273
206	274
207	275
208	276
209	277
210	278
211	279
212	280
213	281
214	282
215	283
216	285
217	286
218	287
219	288
220	291
221	292
222	293
223	295
224	296
225	297
226	299
227	300
228	301
229	302
230	304
231	306
232	307
233	308
234	309
235	310
236	311
237	312
238	313
239	314
240	315
241	316
242	319
243	320
244	321
245	322
246	323
247	324
248	325
249	327
250	328
251	329
252	330
253	331
254	333
255	334
256	335
257	336
258	339
259	340
260	341
261	343
262	344
263	345
264	346
265	347
266	348
267	349
268	350
269	351
270	353
271	354
272	355
273	356
274	357
275	358
276	359
277	360
278	361
279	362
280	363
281	364
282	366
283	367
284	368
285	369
286	370
287	371
288	372
289	373
290	374
291	375
292	376
293	377
294	378
295	379
296	380
297	381
298	382
299	383
300	384
301	386
302	387
303	388
304	389
305	390
306	391
307	392
308	393
309	396
310	398
311	399
312	401
313	403
314	404
315	405
316	406
317	407
318	409
319	410
320	411
321	412
322	413
323	414
324	415
325	416
326	417
327	419
328	420
329	421
330	422
331	423
332	424
333	425
334	426
335	427
336	428
337	429
338	430
339	431
340	432
341	433
342	434
343	435
344	437
345	438
346	439
347	440
348	441
349	442
350	443
351	444
352	445
353	446
354	447
355	448
356	449
357	450
358	451
359	452
360	453
361	454
362	456
363	457
364	458
365	459
366	460
367	461
368	462
369	463
370	464
371	465
372	466
373	467
374	468
375	469
376	470
377	472
378	473
379	474
380	475
381	477
382	479
383	480
384	481
385	482
386	483
387	485
388	486
389	487
390	488
391	489
392	490
393	491
394	492
395	493
396	494
397	495
398	496
399	497
400	498
401	499
402	500
403	501
404	502
405	503
406	505
407	506
408	507
409	508
410	509
411	510
412	511
413	512
414	513
415	514
416	515
417	516
418	517
419	518
420	519
421	520
422	522
423	523
424	525
425	526
426	527
427	528
428	529
429	530
430	531
431	532
432	533
433	534
434	536
435	537
436	538
437	539
438	540
439	541
440	543
441	544
442	545
443	547
444	548
445	549
446	550
447	551
448	553
449	554
450	555
451	556
452	557
453	558
454	559
455	561
456	562
457	563
458	564
459	565
460	566
461	567
462	568
463	569
464	570
465	571
466	573
467	574
468	575
469	576
470	578
471	579
472	581
473	582
474	583
475	584
476	585
477	586
478	587
479	588
480	589
481	590
482	591
483	592
484	593
485	594
486	596
487	597
488	598
489	599
490	600
491	601
492	602
493	603
494	604
495	606
496	607
497	608
498	610
499	611
500	612
501	613
502	615
503	616
504	617
505	618
506	619
507	620
508	621
509	622
510	623
511	625
512	626
513	627
514	628
515	629
516	630
517	631
518	632
519	633
520	634
521	635
522	636
523	637
524	638
525	639
526	641
527	642
528	643
529	644
530	645
531	646
532	647
533	649
534	650
535	651
536	652
537	653
538	654
539	655
540	656
541	657
542	658
543	659
544	660
545	661
546	662
547	663
548	664
549	666
550	667
551	668
552	669
553	670
554	671
555	672
556	674
557	675
558	676
559	677
560	678
561	679
562	681
563	682
564	683
565	684
566	686
